,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,50.00%,60.00%,69.23%,77.14%,83.51%,88.36%,91.93%,94.47%,96.24%,97.46%,98.30%,98.86%,99.24%,99.49%,99.66%
1,60.00%,50.00%,60.00%,69.23%,77.14%,83.51%,88.36%,91.93%,94.47%,96.24%,97.46%,98.30%,98.86%,99.24%,99.49%
2,69.23%,60.00%,50.00%,60.00%,69.23%,77.14%,83.51%,88.36%,91.93%,94.47%,96.24%,97.46%,98.30%,98.86%,99.24%
3,77.14%,69.23%,60.00%,50.00%,60.00%,69.23%,77.14%,83.51%,88.36%,91.93%,94.47%,96.24%,97.46%,98.30%,98.86%
4,83.51%,77.14%,69.23%,60.00%,50.00%,60.00%,69.23%,77.14%,83.51%,88.36%,91.93%,94.47%,96.24%,97.46%,98.30%
5,88.36%,83.51%,77.14%,69.23%,60.00%,50.00%,60.00%,69.23%,77.14%,83.51%,88.36%,91.93%,94.47%,96.24%,97.46%
6,91.93%,88.36%,83.51%,77.14%,69.23%,60.00%,50.00%,60.00%,69.23%,77.14%,83.51%,88.36%,91.93%,94.47%,96.24%
7,94.47%,91.93%,88.36%,83.51%,77.14%,69.23%,60.00%,50.00%,60.00%,69.23%,77.14%,83.51%,88.36%,91.93%,94.47%
8,96.24%,94.47%,91.93%,88.36%,83.51%,77.14%,69.23%,60.00%,50.00%,60.00%,69.23%,77.14%,83.51%,88.36%,91.93%
9,97.46%,96.24%,94.47%,91.93%,88.36%,83.51%,77.14%,69.23%,60.00%,50.00%,60.00%,69.23%,77.14%,83.51%,88.36%
10,98.30%,97.46%,96.24%,94.47%,91.93%,88.36%,83.51%,77.14%,69.23%,60.00%,50.00%,60.00%,69.23%,77.14%,83.51%
11,98.86%,98.30%,97.46%,96.24%,94.47%,91.93%,88.36%,83.51%,77.14%,69.23%,60.00%,50.00%,60.00%,69.23%,77.14%
12,99.24%,98.86%,98.30%,97.46%,96.24%,94.47%,91.93%,88.36%,83.51%,77.14%,69.23%,60.00%,50.00%,60.00%,69.23%
13,99.49%,99.24%,98.86%,98.30%,97.46%,96.24%,94.47%,91.93%,88.36%,83.51%,77.14%,69.23%,60.00%,50.00%,60.00%
14,99.66%,99.49%,99.24%,98.86%,98.30%,97.46%,96.24%,94.47%,91.93%,88.36%,83.51%,77.14%,69.23%,60.00%,50.00%
